Season;Team;No.;Player;Pos;Ht;Wt;Birth Date;Country;Exp;College
2003-04;New Jersey Nets;45;Mikki Moore;C;6-11;225;November 4, 1975;us;5;Nebraska
2003-04;New Jersey Nets;33;Alonzo Mourning;C;6-10;240;February 8, 1970;us;10;Georgetown
2003-04;New Jersey Nets;2;Doug Overton;PG;6-3;190;August 3, 1969;us;10;La Salle
2003-04;New Jersey Nets;9;Robert Pack;PG;6-2;180;February 3, 1969;us;12;USC
2003-04;New Jersey Nets;10;Zoran Planinić;SG;6-7;195;September 12, 1982;ba;R;
2003-04;New Jersey Nets;54;Rodney Rogers;PF;6-7;235;June 20, 1971;us;10;Wake Forest
2003-04;New Jersey Nets;21;Brian Scalabrine;PF;6-9;241;March 18, 1978;us;2;USC
2003-04;New Jersey Nets;8;Tamar Slay;SG;6-8;215;April 2, 1980;us;1;Marshall
2003-04;New Jersey Nets;34;Aaron Williams;C;6-9;220;October 2, 1971;us;9;Xavier
2004-05;New Jersey Nets;6;Travis Best;PG;5-11;182;July 12, 1972;us;9;Georgia Tech
2004-05;New Jersey Nets;2;Rodney Buford;SF;6-5;189;November 2, 1977;us;4;Creighton
2004-05;New Jersey Nets;41;Elden Campbell;C;6-11;215;July 23, 1968;us;14;Clemson
2004-05;New Jersey Nets;15;Vince Carter;SF;6-6;220;January 26, 1977;us;6;UNC
2004-05;New Jersey Nets;35;Jason Collins;C;7-0;255;December 2, 1978;us;3;Stanford
2004-05;New Jersey Nets;28;Kaniel Dickens;SF;6-8;215;July 21, 1978;us;1;Tyler Junior College, Idaho
2004-05;New Jersey Nets;44;Donnell Harvey;PF;6-8;220;August 26, 1980;us;4;Florida
2004-05;New Jersey Nets;24;Richard Jefferson;SF;6-7;233;June 21, 1980;us;3;Arizona
2004-05;New Jersey Nets;5;Jason Kidd;PG;6-4;205;March 23, 1973;us;10;California
2004-05;New Jersey Nets;12;Nenad Krstić;PF;7-0;240;July 25, 1983;rs;R;
2004-05;New Jersey Nets;1;Ron Mercer;SF;6-7;210;May 18, 1976;us;7;Kentucky
2004-05;New Jersey Nets;7;Jérôme Moïso;C;6-10;235;June 15, 1978;fr;4;UCLA
2004-05;New Jersey Nets;33;Alonzo Mourning;PF;6-10;240;February 8, 1970;us;11;Georgetown
2004-05;New Jersey Nets;10;Zoran Planinić;PG;6-7;195;September 12, 1982;ba;1;
2004-05;New Jersey Nets;30;Clifford Robinson;PF;6-10;225;December 16, 1966;us;15;UConn
2004-05;New Jersey Nets;21;Brian Scalabrine;PF;6-9;241;March 18, 1978;us;3;USC
2004-05;New Jersey Nets;55;Jabari Smith;PF;6-11;250;February 12, 1977;us;3;LSU
2004-05;New Jersey Nets;26;Awvee Storey;SG;6-6;222;April 18, 1977;us;R;Illinois, Arizona State
2004-05;New Jersey Nets;20;Billy Thomas;SF;6-4;208;December 23, 1975;us;R;Kansas
2004-05;New Jersey Nets;11;Jacque Vaughn;SG;6-1;190;February 11, 1975;us;7;Kansas
2004-05;New Jersey Nets;34;Aaron Williams;C;6-9;220;October 2, 1971;us;10;Xavier
2004-05;New Jersey Nets;17;Eric Williams;SG;6-8;220;July 17, 1972;us;9;Vincennes University, Providence
2005-06;New Jersey Nets;15;Vince Carter;SG;6-6;220;January 26, 1977;us;7;UNC
2005-06;New Jersey Nets;35;Jason Collins;C;7-0;255;December 2, 1978;us;4;Stanford
2005-06;New Jersey Nets;44;Marc Jackson;C;6-10;270;January 16, 1975;us;5;VCU, Temple
2005-06;New Jersey Nets;24;Richard Jefferson;SF;6-7;233;June 21, 1980;us;4;Arizona
2005-06;New Jersey Nets;43;Linton Johnson;SF;6-8;205;June 13, 1980;us;2;Tulane
2005-06;New Jersey Nets;5;Jason Kidd;PG;6-4;205;March 23, 1973;us;11;California
2005-06;New Jersey Nets;12;Nenad Krstić;PF;7-0;240;July 25, 1983;rs;1;
2005-06;New Jersey Nets;0;Jeff McInnis;SG;6-4;190;October 22, 1974;us;8;UNC
2005-06;New Jersey Nets;31;Lamond Murray;SF;6-7;236;April 20, 1973;us;10;California
2005-06;New Jersey Nets;7;Boštjan Nachbar;SF;6-9;221;July 3, 1980;si;3;
2005-06;New Jersey Nets;34;Scott Padgett;PF;6-9;240;April 19, 1976;us;6;Kentucky
2005-06;New Jersey Nets;10;Zoran Planinić;PG;6-7;195;September 12, 1982;ba;2;
2005-06;New Jersey Nets;30;Clifford Robinson;PF;6-10;225;December 16, 1966;us;16;UConn
2005-06;New Jersey Nets;41;John Thomas;C;6-9;265;September 8, 1975;us;4;Minnesota
2005-06;New Jersey Nets;11;Jacque Vaughn;SG;6-1;190;February 11, 1975;us;8;Kansas
2005-06;New Jersey Nets;21;Antoine Wright;SG;6-7;210;February 6, 1984;us;R;Texas A&M
2005-06;New Jersey Nets;2;Derrick Zimmerman;PG;6-3;195;December 2, 1981;us;R;Mississippi State
2006-07;New Jersey Nets;8;Hassan Adams;SG;6-4;220;June 20, 1984;us;R;Arizona
2006-07;New Jersey Nets;2;Josh Boone;PF;6-10;237;November 21, 1984;us;R;UConn
2006-07;New Jersey Nets;15;Vince Carter;SG;6-6;220;January 26, 1977;us;8;UNC
2006-07;New Jersey Nets;35;Jason Collins;PF;7-0;255;December 2, 1978;us;5;Stanford
2006-07;New Jersey Nets;50;Eddie House;SG;6-1;180;May 14, 1978;us;6;Arizona State
2006-07;New Jersey Nets;9;Mile Ilić;C;7-1;230;June 2, 1984;ba;R;
2006-07;New Jersey Nets;24;Richard Jefferson;SF;6-7;233;June 21, 1980;us;5;Arizona
2006-07;New Jersey Nets;5;Jason Kidd;PG;6-4;205;March 23, 1973;us;12;California
2006-07;New Jersey Nets;12;Nenad Krstić;C;7-0;240;July 25, 1983;rs;2;
2006-07;New Jersey Nets;33;Mikki Moore;C;6-11;225;November 4, 1975;us;8;Nebraska
2006-07;New Jersey Nets;7;Boštjan Nachbar;SF;6-9;221;July 3, 1980;si;4;
2006-07;New Jersey Nets;22;Bernard Robinson;SF;6-6;210;December 26, 1980;us;2;Michigan
2006-07;New Jersey Nets;30;Clifford Robinson;C;6-10;225;December 16, 1966;us;17;UConn
2006-07;New Jersey Nets;1;Marcus Williams;PG;6-3;205;December 3, 1985;us;R;UConn
2006-07;New Jersey Nets;21;Antoine Wright;SG;6-7;210;February 6, 1984;us;1;Texas A&M
2007-08;New Jersey Nets;13;Maurice Ager;SG;6-5;202;February 9, 1984;us;1;Michigan State
2007-08;New Jersey Nets;30;Malik Allen;PF;6-10;255;June 27, 1978;us;6;Villanova
2007-08;New Jersey Nets;10;Darrell Armstrong;PG;6-0;170;June 22, 1968;us;13;Fayetteville State University
2007-08;New Jersey Nets;2;Josh Boone;PF;6-10;237;November 21, 1984;us;1;UConn
2007-08;New Jersey Nets;15;Vince Carter;SG;6-6;220;January 26, 1977;us;9;UNC
2007-08;New Jersey Nets;35;Jason Collins;C;7-0;255;December 2, 1978;us;6;Stanford
2007-08;New Jersey Nets;14;DeSagana Diop;C;7-0;300;January 30, 1982;sn;6;
2007-08;New Jersey Nets;8;Eddie Gill;PG;6-0;190;August 16, 1978;us;5;Weber State
2007-08;New Jersey Nets;34;Devin Harris;PG;6-3;185;February 27, 1983;us;3;Wisconsin
2007-08;New Jersey Nets;44;Trenton Hassell;SG;6-5;200;March 4, 1979;us;6;Austin Peay State University
2007-08;New Jersey Nets;24;Richard Jefferson;SF;6-7;233;June 21, 1980;us;6;Arizona
2007-08;New Jersey Nets;5;Jason Kidd;PG;6-4;205;March 23, 1973;us;13;California
2007-08;New Jersey Nets;12;Nenad Krstić;C;7-0;240;July 25, 1983;rs;3;
2007-08;New Jersey Nets;20;Jamaal Magloire;C;6-11;259;May 21, 1978;ca;7;Kentucky
2007-08;New Jersey Nets;7;Boštjan Nachbar;PF;6-9;221;July 3, 1980;si;5;
2007-08;New Jersey Nets;6;Stromile Swift;PF;6-9;225;November 21, 1979;us;7;LSU
2007-08;New Jersey Nets;22;Billy Thomas;SF;6-4;208;December 23, 1975;us;2;Kansas
2007-08;New Jersey Nets;1;Marcus Williams;PG;6-3;205;December 3, 1985;us;1;UConn
2007-08;New Jersey Nets;51;Sean Williams;C;6-10;235;September 13, 1986;us;R;Boston College
2007-08;New Jersey Nets;21;Antoine Wright;SG;6-7;210;February 6, 1984;us;2;Texas A&M
2008-09;New Jersey Nets;13;Maurice Ager;SG;6-5;202;February 9, 1984;us;2;Michigan State
2008-09;New Jersey Nets;20;Ryan Anderson;PF;6-9;240;May 6, 1988;us;R;California
2008-09;New Jersey Nets;2;Josh Boone;C;6-10;237;November 21, 1984;us;2;UConn
2008-09;New Jersey Nets;15;Vince Carter;SG;6-6;220;January 26, 1977;us;10;UNC
2008-09;New Jersey Nets;55;Keyon Dooling;PG;6-3;196;May 8, 1980;us;8;Missouri
2008-09;New Jersey Nets;17;Chris Douglas-Roberts;SG;6-7;200;January 8, 1987;us;R;Memphis
2008-09;New Jersey Nets;34;Devin Harris;PG;6-3;185;February 27, 1983;us;4;Wisconsin
2008-09;New Jersey Nets;44;Trenton Hassell;SF;6-5;200;March 4, 1979;us;7;Austin Peay State University
2008-09;New Jersey Nets;22;Jarvis Hayes;SF;6-7;220;August 9, 1981;us;5;Western Carolina University, Georgia
2008-09;New Jersey Nets;9;Yi Jianlian;PF;7-0;240;October 27, 1987;cn;1;
2008-09;New Jersey Nets;11;Brook Lopez;C;7-0;282;April 1, 1988;us;R;Stanford
2008-09;New Jersey Nets;14;Eduardo Nájera;PF;6-8;240;July 11, 1976;mx;8;Oklahoma
2008-09;New Jersey Nets;21;Bobby Simmons;SF;6-7;210;June 2, 1980;us;6;DePaul
2008-09;New Jersey Nets;6;Stromile Swift;PF;6-9;225;November 21, 1979;us;8;LSU
2008-09;New Jersey Nets;51;Sean Williams;PF;6-10;235;September 13, 1986;us;1;Boston College
2009-10;New Jersey Nets;1;Rafer Alston;PG;6-2;171;July 24, 1976;us;10;Fresno State
2009-10;New Jersey Nets;7;Tony Battie;C;6-11;230;February 11, 1976;us;11;Texas Tech
2009-10;New Jersey Nets;2;Josh Boone;PF;6-10;237;November 21, 1984;us;3;UConn
2009-10;New Jersey Nets;55;Keyon Dooling;PG;6-3;196;May 8, 1980;us;9;Missouri
2009-10;New Jersey Nets;17;Chris Douglas-Roberts;SF;6-7;200;January 8, 1987;us;1;Memphis
2009-10;New Jersey Nets;34;Devin Harris;PG;6-3;185;February 27, 1983;us;5;Wisconsin
2009-10;New Jersey Nets;44;Trenton Hassell;SF;6-5;200;March 4, 1979;us;8;Austin Peay State University
2009-10;New Jersey Nets;22;Jarvis Hayes;SF;6-7;220;August 9, 1981;us;6;Western Carolina University, Georgia
2009-10;New Jersey Nets;43;Kris Humphries;PF;6-9;235;February 6, 1985;us;5;Minnesota
2009-10;New Jersey Nets;9;Yi Jianlian;PF;7-0;240;October 27, 1987;cn;2;
2009-10;New Jersey Nets;6;Courtney Lee;SG;6-5;215;October 3, 1985;us;1;Western Kentucky
2009-10;New Jersey Nets;11;Brook Lopez;C;7-0;282;April 1, 1988;us;1;Stanford
2009-10;New Jersey Nets;14;Eduardo Nájera;PF;6-8;240;July 11, 1976;mx;9;Oklahoma
2009-10;New Jersey Nets;1;Chris Quinn;PG;6-2;185;September 27, 1983;us;3;Notre Dame
2009-10;New Jersey Nets;21;Bobby Simmons;PF;6-7;210;June 2, 1980;us;7;DePaul
2009-10;New Jersey Nets;51;Sean Williams;PF;6-10;235;September 13, 1986;us;2;Boston College
2009-10;New Jersey Nets;8;Terrence Williams;SF;6-6;220;June 28, 1987;us;R;Louisville
2010-11;New Jersey Nets;2;Jordan Farmar;PG;6-2;180;November 30, 1986;us;4;UCLA
2010-11;New Jersey Nets;14;Derrick Favors;PF;6-9;265;July 15, 1991;us;R;Georgia Tech
2010-11;New Jersey Nets;50;Dan Gadzuric;PF;6-11;240;February 2, 1978;nl;8;UCLA
2010-11;New Jersey Nets;0;Sundiata Gaines;PG;6-1;185;April 18, 1986;us;1;Georgia
2010-11;New Jersey Nets;26;Stephen Graham;SG;6-6;215;June 11, 1982;us;5;Central Florida, Oklahoma State
2010-11;New Jersey Nets;0;Orien Greene;SG;6-4;208;February 4, 1982;us;3;Florida, Louisiana
2010-11;New Jersey Nets;34;Devin Harris;PG;6-3;185;February 27, 1983;us;6;Wisconsin
2010-11;New Jersey Nets;43;Kris Humphries;PF;6-9;235;February 6, 1985;us;6;Minnesota
2010-11;New Jersey Nets;10;Damion James;SF;6-7;225;October 7, 1987;us;R;Texas
2010-11;New Jersey Nets;11;Brook Lopez;C;7-0;282;April 1, 1988;us;2;Stanford
2010-11;New Jersey Nets;22;Anthony Morrow;SG;6-5;210;September 27, 1985;us;2;Georgia Tech
2010-11;New Jersey Nets;7;Troy Murphy;PF;6-11;245;May 2, 1980;us;9;Notre Dame
2010-11;New Jersey Nets;21;Travis Outlaw;SF;6-9;210;September 18, 1984;us;7;
2010-11;New Jersey Nets;27;Johan Petro;C;7-0;247;January 27, 1986;fr;5;
2010-11;New Jersey Nets;13;Quinton Ross;SF;6-6;195;April 30, 1981;us;6;SMU
2010-11;New Jersey Nets;8;Joe Smith;PF;6-10;225;July 26, 1975;us;15;Maryland
2010-11;New Jersey Nets;18;Ben Uzoh;PG;6-3;205;March 19, 1988;us;R;Tulsa
2010-11;New Jersey Nets;20;Sasha Vujačić;SG;6-7;195;March 8, 1984;si;6;
2010-11;New Jersey Nets;6;Mario West;SG;6-5;210;June 19, 1984;us;3;Georgia Tech
2010-11;New Jersey Nets;8;Deron Williams;PG;6-3;200;June 26, 1984;us;5;Illinois
2010-11;New Jersey Nets;1;Terrence Williams;SG;6-6;220;June 28, 1987;us;1;Louisville
2010-11;New Jersey Nets;34;Brandan Wright;PF;6-10;210;October 5, 1987;us;2;UNC
2011-12;New Jersey Nets;6;Keith Bogans;SF;6-5;215;May 12, 1980;us;8;Kentucky
2011-12;New Jersey Nets;9;MarShon Brooks;SG;6-5;200;January 26, 1989;us;R;Providence
2011-12;New Jersey Nets;14;Andre Emmett;SF;6-5;230;August 27, 1982;us;1;Texas Tech
2011-12;New Jersey Nets;2;Jordan Farmar;PG;6-2;180;November 30, 1986;us;5;UCLA
2011-12;New Jersey Nets;1;Sundiata Gaines;SG;6-1;185;April 18, 1986;us;2;Georgia
2011-12;New Jersey Nets;14;Gerald Green;SF;6-6;205;January 26, 1986;us;4;
2011-12;New Jersey Nets;31;Dennis Horner;PF;6-9;230;February 5, 1988;us;R;NC State
2011-12;New Jersey Nets;43;Kris Humphries;PF;6-9;235;February 6, 1985;us;7;Minnesota
2011-12;New Jersey Nets;10;Damion James;SF;6-7;225;October 7, 1987;us;1;Texas
2011-12;New Jersey Nets;7;Armon Johnson;PG;6-3;195;February 23, 1989;us;1;Nevada
2011-12;New Jersey Nets;11;Brook Lopez;C;7-0;282;April 1, 1988;us;3;Stanford
2011-12;New Jersey Nets;22;Anthony Morrow;SG;6-5;210;September 27, 1985;us;3;Georgia Tech
2011-12;New Jersey Nets;13;Mehmet Okur;C;6-11;249;May 26, 1979;tr;9;
2011-12;New Jersey Nets;24;Larry Owens;SF;6-7;210;January 8, 1983;us;1;Oral Roberts
2011-12;New Jersey Nets;27;Johan Petro;C;7-0;247;January 27, 1986;fr;6;
2011-12;New Jersey Nets;28;Jerry Smith;PG;6-2;190;September 26, 1987;us;R;Louisville
2011-12;New Jersey Nets;92;DeShawn Stevenson;SF;6-5;210;April 3, 1981;us;11;
2011-12;New Jersey Nets;45;Gerald Wallace;SF;6-7;215;July 23, 1982;us;10;Alabama
2011-12;New Jersey Nets;8;Deron Williams;PG;6-3;200;June 26, 1984;us;6;Illinois
2011-12;New Jersey Nets;20;Jordan Williams;C;6-10;260;October 11, 1990;us;R;Maryland
2011-12;New Jersey Nets;7;Shawne Williams;SF;6-9;225;February 16, 1986;us;4;Memphis
2011-12;New Jersey Nets;33;Shelden Williams;C;6-9;250;October 21, 1983;us;5;Duke
2012-13;Brooklyn Nets;0;Andray Blatche;C;6-11;235;August 22, 1986;us;7;
2012-13;Brooklyn Nets;10;Keith Bogans;SG;6-5;215;May 12, 1980;us;9;Kentucky
2012-13;Brooklyn Nets;9;MarShon Brooks;SG;6-5;200;January 26, 1989;us;1;Providence
2012-13;Brooklyn Nets;2;Josh Childress;SF;6-8;210;June 20, 1983;us;6;Stanford
2012-13;Brooklyn Nets;30;Reggie Evans;PF;6-8;245;May 18, 1980;us;10;Iowa
2012-13;Brooklyn Nets;43;Kris Humphries;PF;6-9;235;February 6, 1985;us;8;Minnesota
2012-13;Brooklyn Nets;14;Damion James;SF;6-7;225;October 7, 1987;us;2;Texas
2012-13;Brooklyn Nets;7;Joe Johnson;SG;6-7;240;June 29, 1981;us;11;Arkansas
2012-13;Brooklyn Nets;24;Kris Joseph;SF;6-7;210;December 17, 1988;ca;R;Syracuse
2012-13;Brooklyn Nets;11;Brook Lopez;C;7-0;282;April 1, 1988;us;4;Stanford
2012-13;Brooklyn Nets;20;Tornike Shengelia;SF;6-9;217;October 5, 1991;ge;R;
2012-13;Brooklyn Nets;42;Jerry Stackhouse;SF;6-6;218;November 5, 1974;us;17;UNC
2012-13;Brooklyn Nets;41;Tyshawn Taylor;PG;6-3;185;April 12, 1990;us;R;Kansas
2012-13;Brooklyn Nets;33;Mirza Teletović;PF;6-9;242;September 18, 1985;ba;R;
2012-13;Brooklyn Nets;45;Gerald Wallace;SF;6-7;215;July 23, 1982;us;11;Alabama
2012-13;Brooklyn Nets;1;C.J. Watson;PG;6-2;175;April 17, 1984;us;5;Tennessee
2012-13;Brooklyn Nets;8;Deron Williams;PG;6-3;200;June 26, 1984;us;7;Illinois
2013-14;Brooklyn Nets;6;Alan Anderson;SF;6-6;220;October 16, 1982;us;4;Michigan State
2013-14;Brooklyn Nets;0;Andray Blatche;PF;6-11;235;August 22, 1986;us;8;
2013-14;Brooklyn Nets;98;Jason Collins;C;7-0;255;December 2, 1978;us;12;Stanford
2013-14;Brooklyn Nets;30;Reggie Evans;PF;6-8;245;May 18, 1980;us;11;Iowa
2013-14;Brooklyn Nets;2;Kevin Garnett;C;6-11;240;May 19, 1976;us;18;
2013-14;Brooklyn Nets;13;Jorge Gutiérrez;PG;6-3;191;December 27, 1988;mx;R;California
2013-14;Brooklyn Nets;7;Joe Johnson;SG;6-7;240;June 29, 1981;us;12;Arkansas
2013-14;Brooklyn Nets;47;Andrei Kirilenko;PF;6-9;220;February 18, 1981;ru;11;
2013-14;Brooklyn Nets;14;Shaun Livingston;PG;6-7;192;September 11, 1985;us;8;
2013-14;Brooklyn Nets;11;Brook Lopez;C;7-0;282;April 1, 1988;us;5;Stanford
2013-14;Brooklyn Nets;34;Paul Pierce;SF;6-7;235;October 13, 1977;us;15;Kansas
2013-14;Brooklyn Nets;1;Mason Plumlee;C;6-11;254;March 5, 1990;us;R;Duke
2013-14;Brooklyn Nets;20;Tornike Shengelia;SF;6-9;217;October 5, 1991;ge;1;
2013-14;Brooklyn Nets;10;Tyshawn Taylor;PG;6-3;185;April 12, 1990;us;1;Kansas
2013-14;Brooklyn Nets;12;Marquis Teague;SG;6-2;189;February 28, 1993;us;1;Kentucky
2013-14;Brooklyn Nets;33;Mirza Teletović;SF;6-9;242;September 18, 1985;ba;1;
2013-14;Brooklyn Nets;31;Jason Terry;PG;6-2;185;September 15, 1977;us;14;Arizona
2013-14;Brooklyn Nets;10;Marcus Thornton;SG;6-4;205;June 5, 1987;us;4;LSU
2013-14;Brooklyn Nets;8;Deron Williams;PG;6-3;200;June 26, 1984;us;8;Illinois
2014-15;Brooklyn Nets;6;Alan Anderson;SG;6-6;220;October 16, 1982;us;5;Michigan State
2014-15;Brooklyn Nets;44;Bojan Bogdanović;SF;6-7;226;April 18, 1989;ba;R;
2014-15;Brooklyn Nets;22;Markel Brown;SG;6-3;190;January 29, 1992;us;R;Oklahoma State
2014-15;Brooklyn Nets;55;Earl Clark;PF;6-10;225;January 17, 1988;us;5;Louisville
2014-15;Brooklyn Nets;20;Brandon Davies;PF;6-10;240;July 25, 1991;us;1;BYU
2014-15;Brooklyn Nets;2;Kevin Garnett;PF;6-11;240;May 19, 1976;us;19;
2014-15;Brooklyn Nets;13;Jorge Gutiérrez;PG;6-3;191;December 27, 1988;mx;1;California
2014-15;Brooklyn Nets;0;Jarrett Jack;PG;6-3;200;October 28, 1983;us;9;Georgia Tech
2014-15;Brooklyn Nets;21;Cory Jefferson;PF;6-9;218;December 26, 1990;us;R;Baylor
2014-15;Brooklyn Nets;7;Joe Johnson;SG;6-7;240;June 29, 1981;us;13;Arkansas
2014-15;Brooklyn Nets;9;Jerome Jordan;C;7-0;253;September 29, 1986;jm;1;Tulsa
2014-15;Brooklyn Nets;10;Sergey Karasev;SG;6-7;208;October 26, 1993;ru;1;
2014-15;Brooklyn Nets;47;Andrei Kirilenko;SF;6-9;220;February 18, 1981;ru;12;
2014-15;Brooklyn Nets;11;Brook Lopez;C;7-0;282;April 1, 1988;us;6;Stanford
2014-15;Brooklyn Nets;14;Darius Morris;PG;6-4;190;January 3, 1991;us;3;Michigan
2014-15;Brooklyn Nets;1;Mason Plumlee;C;6-11;254;March 5, 1990;us;1;Duke
2014-15;Brooklyn Nets;33;Mirza Teletović;PF;6-9;242;September 18, 1985;ba;2;
2014-15;Brooklyn Nets;8;Deron Williams;PG;6-3;200;June 26, 1984;us;9;Illinois
2014-15;Brooklyn Nets;30;Thaddeus Young;PF;6-8;235;June 21, 1988;us;7;Georgia Tech
2015-16;Brooklyn Nets;9;Andrea Bargnani;C;7-0;245;October 26, 1985;it;9;
2015-16;Brooklyn Nets;44;Bojan Bogdanović;SF;6-7;226;April 18, 1989;ba;1;
2015-16;Brooklyn Nets;22;Markel Brown;SG;6-3;190;January 29, 1992;us;1;Oklahoma State
2015-16;Brooklyn Nets;21;Wayne Ellington;SG;6-4;207;November 29, 1987;us;6;UNC
2015-16;Brooklyn Nets;24;Rondae Hollis-Jefferson;SF;6-6;217;January 3, 1995;us;R;Arizona
2015-16;Brooklyn Nets;2;Jarrett Jack;PG;6-3;200;October 28, 1983;us;10;Georgia Tech
2015-16;Brooklyn Nets;7;Joe Johnson;SF;6-7;240;June 29, 1981;us;14;Arkansas
2015-16;Brooklyn Nets;10;Sergey Karasev;SF;6-7;208;October 26, 1993;ru;2;
2015-16;Brooklyn Nets;6;Sean Kilpatrick;SG;6-4;210;January 6, 1990;us;1;Cincinnati
2015-16;Brooklyn Nets;0;Shane Larkin;PG;5-11;175;October 2, 1992;us;2;Miami (FL)
2015-16;Brooklyn Nets;11;Brook Lopez;C;7-0;282;April 1, 1988;us;7;Stanford
2015-16;Brooklyn Nets;1;Chris McCullough;PF;6-11;200;February 5, 1995;us;R;Syracuse
2015-16;Brooklyn Nets;33;Willie Reed;C;6-10;220;May 16, 1990;us;R;Saint Louis
2015-16;Brooklyn Nets;41;Thomas Robinson;PF;6-10;237;March 17, 1991;us;3;Kansas
2015-16;Brooklyn Nets;14;Henry Sims;C;6-10;248;March 27, 1990;us;3;Georgetown
2015-16;Brooklyn Nets;15;Donald Sloan;PG;6-3;205;January 15, 1988;us;4;Texas A&M
2015-16;Brooklyn Nets;30;Thaddeus Young;PF;6-8;235;June 21, 1988;us;8;Georgia Tech
2016-17;Brooklyn Nets;13;Quincy Acy;PF;6-7;240;October 6, 1990;us;4;Baylor
2016-17;Brooklyn Nets;13;Anthony Bennett;PF;6-8;245;March 14, 1993;ca;3;UNLV
2016-17;Brooklyn Nets;44;Bojan Bogdanović;SF;6-7;226;April 18, 1989;ba;2;
2016-17;Brooklyn Nets;35;Trevor Booker;PF;6-8;228;November 25, 1987;us;6;Clemson
2016-17;Brooklyn Nets;8;Spencer Dinwiddie;PG;6-5;215;April 6, 1993;us;2;Colorado
2016-17;Brooklyn Nets;10;Yogi Ferrell;PG;6-0;178;May 9, 1993;us;R;Indiana
2016-17;Brooklyn Nets;2;Randy Foye;SG;6-4;213;September 24, 1983;us;10;Villanova
2016-17;Brooklyn Nets;10;Archie Goodwin;SG;6-5;200;August 17, 1994;us;3;Kentucky
2016-17;Brooklyn Nets;41;Justin Hamilton;C;7-0;260;April 1, 1990;us;2;Iowa State, LSU
2016-17;Brooklyn Nets;12;Joe Harris;SG;6-6;220;September 6, 1991;us;2;Virginia
2016-17;Brooklyn Nets;24;Rondae Hollis-Jefferson;SF;6-6;217;January 3, 1995;us;1;Arizona
2016-17;Brooklyn Nets;6;Sean Kilpatrick;SG;6-4;210;January 6, 1990;us;2;Cincinnati
2016-17;Brooklyn Nets;22;Caris LeVert;SF;6-6;205;August 25, 1994;us;R;Michigan
2016-17;Brooklyn Nets;7;Jeremy Lin;PG;6-3;200;August 23, 1988;us;6;Harvard University
2016-17;Brooklyn Nets;11;Brook Lopez;C;7-0;282;April 1, 1988;us;8;Stanford
2016-17;Brooklyn Nets;1;Chris McCullough;PF;6-11;200;February 5, 1995;us;1;Syracuse
2016-17;Brooklyn Nets;14;K.J. McDaniels;SF;6-6;205;February 9, 1993;us;2;Clemson
2016-17;Brooklyn Nets;44;Andrew Nicholson;PF;6-9;250;December 8, 1989;ca;4;St. Bonaventure
2016-17;Brooklyn Nets;4;Luis Scola;PF;6-9;240;April 30, 1980;ar;9;
2016-17;Brooklyn Nets;21;Greivis Vásquez;PG;6-6;217;January 16, 1987;ve;6;Maryland
2016-17;Brooklyn Nets;15;Isaiah Whitehead;PG;6-4;213;March 8, 1995;us;R;Seton Hall
2017-18;Brooklyn Nets;13;Quincy Acy;PF;6-7;240;October 6, 1990;us;5;Baylor
2017-18;Brooklyn Nets;31;Jarrett Allen;C;6-11;243;April 21, 1998;us;R;Texas
2017-18;Brooklyn Nets;35;Trevor Booker;PF;6-8;228;November 25, 1987;us;7;Clemson
2017-18;Brooklyn Nets;9;DeMarre Carroll;PF;6-6;215;July 27, 1986;us;8;Vanderbilt, Missouri
2017-18;Brooklyn Nets;33;Allen Crabbe;SG;6-5;212;April 9, 1992;us;4;California
2017-18;Brooklyn Nets;44;Dante Cunningham;SF;6-8;230;April 22, 1987;us;8;Villanova
2017-18;Brooklyn Nets;8;Spencer Dinwiddie;PG;6-5;215;April 6, 1993;us;3;Colorado
2017-18;Brooklyn Nets;14;Milton Doyle;SG;6-4;185;October 31, 1993;us;R;Loyola Chicago
2017-18;Brooklyn Nets;12;Joe Harris;SG;6-6;220;September 6, 1991;us;3;Virginia
2017-18;Brooklyn Nets;24;Rondae Hollis-Jefferson;SF;6-6;217;January 3, 1995;us;2;Arizona
2017-18;Brooklyn Nets;6;Sean Kilpatrick;SG;6-4;210;January 6, 1990;us;3;Cincinnati
2017-18;Brooklyn Nets;22;Caris LeVert;SF;6-6;205;August 25, 1994;us;1;Michigan
2017-18;Brooklyn Nets;7;Jeremy Lin;PG;6-3;200;August 23, 1988;us;7;Harvard University
2017-18;Brooklyn Nets;20;Timofey Mozgov;C;7-1;275;July 16, 1986;ru;7;
2017-18;Brooklyn Nets;4;Jahlil Okafor;C;6-10;270;December 15, 1995;us;2;Duke
2017-18;Brooklyn Nets;1;D'Angelo Russell;PG;6-4;193;February 23, 1996;us;2;Ohio State
2017-18;Brooklyn Nets;2;Nik Stauskas;SG;6-6;205;October 7, 1993;ca;3;Michigan
2017-18;Brooklyn Nets;17;Rashad Vaughn;SG;6-6;202;August 16, 1996;us;2;UNLV
2017-18;Brooklyn Nets;0;James Webb III;SF;6-9;202;August 19, 1993;us;R;Boise State
2017-18;Brooklyn Nets;15;Isaiah Whitehead;PG;6-4;213;March 8, 1995;us;1;Seton Hall
2017-18;Brooklyn Nets;21;Jacob Wiley;PF;6-7;215;September 4, 1994;us;R;Eastern Washington
2017-18;Brooklyn Nets;44;Tyler Zeller;C;7-0;253;January 17, 1990;us;5;UNC
